,file_name,transcription,mms_model_transcription
11,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3865_59.7000_1.4000.wav,那呃,那<unk>
12,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3868_64.0000_3.4400.wav,yeah m s c oh yeah I know [UNK] yeah,yahm s c a yam mastarya
13,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3871_68.7800_0.9900.wav,full time student,fotistuldenr
14,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3877_71.8940_0.7900.wav,嗯嗯嗯,<unk>
15,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3883_75.4600_1.3400.wav,so where are you come from,<unk>我co时
16,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3887_80.5600_0.7000.wav,how about you,how vy
17,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3891_82.9360_1.0100.wav,accident,st
18,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3895_86.6600_0.8300.wav,南方人,南方人
19,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3898_89.0000_1.7600.wav,南方人啊深圳,方人啊深圳
20,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3902_91.5600_0.5600.wav,深圳,深圳
21,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3907_94.6200_0.7000.wav,不是,不是
22,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3911_97.1400_3.0800.wav,嗯哼因为感觉香港好多深圳人,因为感觉香港好多都深圳人
23,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3917_105.2800_1.5800.wav,不是我也是南方人,不是为是那方人
24,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3920_108.9600_0.6800.wav,不是,不是
25,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3922_112.9600_3.6400.wav,really uh close to Guangzhou Guangdong province,lily close to gondome province
26,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3926_119.1000_0.5200.wav,不是,<unk>
27,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3930_122.1400_0.7600.wav,可是,不是
28,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3934_126.4300_1.0200.wav,ok福建,ok福洁
29,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3938_128.9500_0.2800.wav,yeah,ya
30,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3946_136.2180_0.5500.wav,嗯,
31,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3950_139.8140_2.8200.wav,你看着我就分不清嘛你都说我是北方人,你产着我像分不情嘛都说我是北方
32,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3954_145.4980_0.1700.wav,对,对
33,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3958_147.2200_1.1200.wav,来不了,l不
34,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3960_148.7600_1.5700.wav,吃葡萄不吐葡萄皮,吃不t不图不t品
35,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3964_151.7800_0.6300.wav,那是什么啊,那是什么
36,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3970_157.9880_0.4600.wav,ok,oky
37,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3974_161.5140_0.5060.wav,哦,
38,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3978_165.0400_2.8200.wav,黑化肥挥发会发黑,黑化肥会发会发黑
39,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3984_172.9400_5.3500.wav,so uh what's your uh what's your plan for your career,so u  w't yo plan bor yo cr
40,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L3992_183.5200_2.6600.wav,so you you already found a job or not,so yo you already found a jb o not
41,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4002_198.3400_1.1400.wav,so you are still,so itwast
42,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4006_202.8180_0.3600.wav,ok,对
43,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4008_204.7600_4.8600.wav,um actually I find the job in last semester,actually <unk> find a job in last semester
44,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4012_211.1680_1.2100.wav,invested consulting,对tt可sotn
45,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4014_212.9200_4.5900.wav,because I study in um information system engineers,cas i study in information system managements
46,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4016_217.7000_2.8200.wav,since um four years ago,sinks<unk> four years ago
47,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4018_220.8600_7.0400.wav,so I I mean I study I S N in both my bachelorand master um degree so,so   i mhing i study <unk><unk> m imbose my bacture and master thegore so
48,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4020_228.2600_6.7100.wav,um but it's not that technical so I decided to find a job like technology consulting,but it's not that technical so i decided to find a job like technology consultings
49,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4022_235.4800_0.6600.wav,so,so
50,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4026_237.3600_0.4400.wav,yeah,
51,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4030_240.8800_5.4200.wav,but it's not that technical actually with more related to business and,but it's not a technical actually so it's more related to business and
52,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4032_246.3400_6.2800.wav,you need to learn how to communicate with us and givesome technical solutions,youl need to learn how to communicate with others and give some technical iselutions
53,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4036_256.1700_1.9500.wav,yeah,y
54,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4040_259.6200_1.4200.wav,so what's your hobbies,sw球llholbis
55,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4048_269.6200_3.0000.wav,um运动啊男生一般不都喜欢运动,<unk>运动啊男生一方不都喜欢运动
56,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4052_273.9910_0.5700.wav,tennis,tns
57,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4056_282.5800_1.2600.wav,you have learned it,you have learned it
58,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4061_288.9600_1.4000.wav,体育课上那种吗,体育课上那种吗
59,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4066_294.0000_0.8100.wav,嗯嗯嗯,<unk><unk>
60,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4069_296.7600_0.3900.wav,嗯,<unk>
61,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4075_299.5000_2.8300.wav,那其他方面除了运动方面还有什么爱好,那其他方面处了运动方面好什么爱好
62,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4077_304.2400_1.0300.wav,没有,哪有
63,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4083_313.2400_0.6400.wav,嗯,<unk>
64,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4085_314.5900_0.9000.wav,学术,学说
65,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4091_321.7000_0.5600.wav,嗯,<unk>
66,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4095_324.5700_1.5900.wav,哦这么technical,怎么tecniccod
67,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4097_326.2400_3.7000.wav,你们专业的是不是平时学得都是一些什么呃,你们专的是不是平是学都是一些什么<unk>
68,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4099_330.4200_1.4500.wav,computer languages是,compulter langugs
69,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4108_347.9200_3.1800.wav,嗯那你就是对这方面很有兴趣,<unk>那你就是对这方面很有信出
70,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4111_353.2900_1.1100.wav,um,<unk>
71,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4113_356.2200_0.6700.wav,嗯,<unk>
72,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4115_358.4800_0.3400.wav,yeah,y
73,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4118_362.2500_3.3300.wav,I learn some programing language,so <unk> learn some programin language
74,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4120_365.9000_1.5200.wav,in these years,in thes years
75,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4122_367.5800_2.7700.wav,but i think it's kind of boring so,but i think it's kind of boring so
76,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4124_370.7000_0.6800.wav,uh,<unk>
77,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4128_373.4800_3.1000.wav,uh but some program language like Python,<unk>the some programe language like tison
78,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4130_376.9200_3.6400.wav,are really popular this year in every industries so,i really popular tis hear in are industries so
79,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4132_380.9100_1.6700.wav,it push me to learn it,i ps mtl
80,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4138_388.4200_1.0300.wav,嗯yeah,<unk>
81,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4140_389.5400_1.8400.wav,所以我上学期也学了python,所以我上学期学排s
82,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4142_391.5400_1.4500.wav,这门课但是,这么可但是
83,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4144_393.4500_2.6900.wav,学完之后感觉学的还是一些皮毛不是特别难,喜欢就感觉学得还是一些pm不是特变的
84,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4158_408.7200_0.5800.wav,yeah,
85,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4160_409.7500_2.6800.wav,like because you can use some package,like because you can use some package
86,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4166_419.2800_0.9000.wav,在深圳的,在深身的
87,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4168_420.4600_0.3000.wav,嗯,对
88,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4173_424.4200_0.5200.wav,没有,那
89,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4175_425.7800_2.3400.wav,因为其实我找工作上学期找的嘛,因为其实我找工作上学期找的
90,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4177_428.2000_1.5400.wav,然后上学期刚来的时候,然后上学期刚来的时候
91,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4179_430.2200_1.4200.wav,呃压力比较大然后,<unk>压力比要大然后
92,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4181_431.7700_1.8200.wav,也还有很多不适应的地方,要还又很多不是的地方
93,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4183_433.8400_2.1000.wav,然后总的来说我觉得,然总的来说觉得
94,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4185_436.0300_2.6200.wav,嗯薪资水平虽然这边会比较高但是,清资水频所样这边会比较搞但是
95,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4187_439.0300_1.3800.wav,大陆可能会,大陆可能会
96,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4189_440.7800_0.5800.wav,更,<unk>
97,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4191_442.2100_2.1900.wav,更更有趣有一点,<unk>更去有一点
98,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4193_444.9900_4.4700.wav,所以就会还是选择回大陆找我就觉得 [UNK],所以就会还去前择会大陆长物这学期是i多
99,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4195_449.7400_2.4500.wav,还蛮多觉得真心觉得香港还还不错,还蛮多觉遵觉香该啊不错
100,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4199_453.9600_0.5500.wav,嗯,<unk>
101,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4203_457.8600_0.6200.wav,um,
102,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4205_458.8200_0.6100.wav,no,no
103,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4207_459.6800_1.2600.wav,i'm not nervous,<unk>'m not novers
104,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4213_465.2000_0.6000.wav,thank you,对
105,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4217_469.1600_0.4200.wav,so,so
106,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4220_473.8500_1.4900.wav,So what uh,so 我t
107,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4222_476.4600_1.9400.wav,What do you plan to find,what do you plan to find
108,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4224_478.5200_3.6600.wav,uh uh i i mean what's your planning for your next,<unk><unk>  <unk> men wos yor planning for your nex
109,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4226_482.4600_0.8600.wav,shop,是
110,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4228_484.5200_3.9000.wav,because you say you are not satisfied with the job you have found,because youl say you are not satisfidsin the job you have found
111,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4236_495.1800_0.9300.wav,you rejected it,因为这可以
112,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4241_498.5600_0.7400.wav,ok,oky
113,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4243_499.9500_0.5700.wav,Louis,so
114,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4247_502.1400_1.6800.wav,oh you don't likeGuangzhou,哦有等来关
115,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4250_506.7000_1.0400.wav,oh ok,<unk>k
116,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4254_514.7800_3.3700.wav,so you prefer work in Hongkong or in Shenzhen,so you prefer wok ing hong cong wing 深圳
117,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4258_519.2510_0.4790.wav,both,<unk>os
118,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4260_521.2300_0.4810.wav,嗯,<unk>
119,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4266_527.9800_8.4800.wav,so um so will uh will you do you you will do sports in your uh [UNK] time,so<unk>so wwel yod you will do sports in your majretine
120,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4268_537.1800_4.6200.wav,and besides tennis you basically studied,and besides tennis you basically study
121,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4270_541.9000_0.2800.wav,right,<unk>
122,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4273_546.9400_0.4300.wav,oh,
123,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4276_550.0800_2.0000.wav,嗯我是一个从来不运动的人,<unk>我是一个从来不运动的
124,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4278_552.1600_1.2200.wav,uh,
125,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4282_558.0800_2.6200.wav,um i can't insist,<unk>i can insist
126,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4284_561.0000_3.5600.wav,doing sports more than three days,doins post more tan three days
127,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4293_573.2700_2.4100.wav,看电影听音乐不看书,看电影听乐不看是
128,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4295_576.2000_2.7600.wav,看电影听音乐然后出去吃东西什么的,感电情愿然后出去之东西什么的
129,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4297_580.0800_1.0300.wav,我比较喜欢吃,有比喜吃
130,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4306_592.2200_0.9200.wav,嗯,
131,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4308_593.6400_1.6800.wav,也没有很多girls night,e m有u很a多o gost nit
132,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4310_595.6600_2.7700.wav,大多数night就是一直在床上睡觉,大都数呢都是在床上睡觉
133,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4312_598.7400_1.3400.wav,疲惫,p对
134,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4318_603.8600_0.8600.wav,嗯,<unk>
135,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4320_605.5600_1.9500.wav,so do you have something,so do have some thing
136,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4322_607.8700_10.4300.wav,to do list is like um something you must have to do before you graduate from HK University because yeah we are [UNK] a graduate right now,to do this it's like something you must have to do before you graduate from educat ust because  we are graduates right now
137,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4324_619.3200_2.9200.wav,um i'm i'm marry soon right now,<unk> <unk> am inmaris rik now
138,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4334_634.2500_3.0500.wav,嗯所以你现在还是比较focus在找工作这件事上,所以你现在是是比较focs在找工作的结是
139,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4338_638.7800_0.5400.wav,嗯,<unk>
140,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4344_645.1400_0.9500.wav,哦对对对,哦对对
141,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4350_648.8330_0.4000.wav,嗯,
142,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4354_650.3200_0.7900.wav,现在确实是,现在确实是
143,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4360_654.4100_4.8600.wav,但那个办那个 i n g i a n g是不是只有之后打算留香港的人才能,那当那个<unk> 去是不是只有只后打算流相港了的人才跟
144,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4366_668.0200_0.6700.wav,not for work,啊后
145,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4370_669.3600_0.4100.wav,啊,
146,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4374_676.0400_1.5500.wav,so unlimited time,so umtimntt
147,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4384_688.6000_0.8800.wav,嗯嗯,<unk><unk>
148,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4388_694.3870_0.3000.wav,嗯,
149,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4392_696.8500_1.6500.wav,好的那我也去办一下,好的那我也去把一下
150,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4400_701.7400_2.7600.wav,想过但是因为最近project有点多,想过呢是因为这正projec有点多
151,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4404_706.0800_2.0400.wav,六月一号两门final吗,就为好我两们fn吗
152,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4407_709.4900_4.6100.wav,所以最近比较忙不过好像也确实该去办了之后也没有什么时间,所以这近比吗不过好像也出实该去办之后也没什么事间的
153,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4411_719.4800_2.4000.wav,但是我们的房租就到了,他是我们的方处右到
154,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4413_722.3000_0.4800.wav,六月,你
155,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4417_723.6220_0.3200.wav,嗯,
156,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4421_726.3200_2.0000.wav,呃i live in [UNK],<unk> <unk> livein hanghole
157,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4425_730.5200_2.7400.wav,sorry [UNK] is not good,storing fming cantonis is not good
158,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4431_736.3200_1.0600.wav,你住在哪,你觉呢
159,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/ASCEND/waves/ses1_spk17_L4434_738.3100_0.8400.wav,都住在坑口,都作在很k
